N,WideArea,NarrowArea,WideError,NarrowError
66600,0.959054,0.785856,0.0153908,0.167981
67100,0.958346,0.785753,0.0146409,0.168091
67600,0.958713,0.786036,0.0150297,0.167791
68100,0.958811,0.785888,0.015133,0.167947
68600,0.959038,0.786064,0.0153737,0.167761
69100,0.959913,0.786223,0.0163004,0.167593
69600,0.960647,0.78625,0.0170768,0.167564
70100,0.960214,0.786448,0.0166189,0.167355
70600,0.95915,0.786317,0.0154925,0.167493
71100,0.958481,0.786245,0.0147841,0.16757
71600,0.958953,0.786341,0.0152833,0.167468
72100,0.958294,0.786255,0.0145861,0.167559
72600,0.957149,0.786488,0.0133736,0.167313
73100,0.955896,0.786238,0.0120473,0.167577
73600,0.956005,0.786304,0.0121631,0.167507
74100,0.955749,0.786491,0.0118916,0.167309
74600,0.954893,0.786367,0.0109851,0.16744
75100,0.954887,0.786418,0.0109788,0.167386
75600,0.955714,0.786336,0.0118548,0.167473
76100,0.956649,0.786229,0.0128446,0.167587
76600,0.955692,0.786031,0.0118311,0.167796
77100,0.955798,0.786005,0.0119431,0.167823
77600,0.955206,0.785992,0.0113169,0.167837
78100,0.954507,0.785928,0.0105767,0.167905
78600,0.953015,0.785802,0.00899728,0.168039
79100,0.952794,0.785575,0.00876294,0.168279
79600,0.951897,0.785377,0.0078133,0.168489
80100,0.953034,0.785543,0.0090168,0.168313
80600,0.952593,0.78567,0.00855026,0.168178
81100,0.953268,0.785549,0.0092644,0.168307
81600,0.952941,0.785613,0.00891883,0.168239
82100,0.952071,0.785518,0.00799716,0.168339
82600,0.952736,0.785496,0.00870169,0.168362
83100,0.951769,0.785331,0.00767775,0.168537
83600,0.951998,0.785395,0.00791984,0.16847
84100,0.952759,0.785172,0.00872555,0.168705
84600,0.95234,0.785024,0.00828279,0.168863
85100,0.951716,0.784982,0.00762129,0.168906
85600,0.951414,0.784942,0.00730147,0.168949
86100,0.952056,0.785122,0.00798139,0.168758
86600,0.951028,0.784931,0.00689297,0.168961
87100,0.951148,0.784845,0.00702043,0.169052
87600,0.951267,0.784863,0.00714644,0.169033
88100,0.951691,0.784983,0.00759549,0.168906
88600,0.951603,0.784955,0.00750174,0.168935
89100,0.951212,0.784905,0.00708821,0.168989
